req_id,attempt,success,ts_ms
0,1,False,1746420496543
0,2,True,1746420496543
1,1,False,1746420496543
1,2,True,1746420496543
2,1,False,1746420496543
2,2,True,1746420496543
3,1,False,1746420496543
3,2,True,1746420496543
4,1,True,1746420496543
5,1,True,1746420496543
6,1,False,1746420496544
6,2,True,1746420496544
7,1,True,1746420496544
8,1,True,1746420496544
9,1,True,1746420496544
10,1,True,1746420496544
11,1,False,1746420496544
11,2,True,1746420496544
12,1,True,1746420496544
13,1,True,1746420496544
14,1,True,1746420496544
15,1,False,1746420496544
15,2,True,1746420496544
16,1,False,1746420496544
16,2,False,1746420496544
16,3,True,1746420496544
17,1,True,1746420496544
18,1,True,1746420496544
19,1,True,1746420496544
20,1,True,1746420496544
21,1,False,1746420496544
21,2,False,1746420496544
21,3,True,1746420496544
22,1,True,1746420496544
23,1,True,1746420496544
24,1,True,1746420496544
25,1,True,1746420496544
26,1,True,1746420496544
27,1,False,1746420496544
27,2,True,1746420496544
28,1,True,1746420496544
29,1,False,1746420496544
29,2,False,1746420496544
29,3,True,1746420496544
30,1,False,1746420496544
30,2,True,1746420496544
31,1,False,1746420496544
31,2,True,1746420496544
32,1,True,1746420496544
33,1,True,1746420496544
34,1,True,1746420496544
35,1,True,1746420496544
36,1,False,1746420496544
36,2,True,1746420496544
37,1,True,1746420496544
38,1,True,1746420496544
39,1,True,1746420496544
40,1,True,1746420496544
41,1,True,1746420496544
42,1,False,1746420496544
42,2,True,1746420496544
43,1,True,1746420496544
44,1,True,1746420496544
45,1,True,1746420496544
46,1,True,1746420496544
47,1,True,1746420496544
48,1,True,1746420496544
49,1,False,1746420496544
49,2,False,1746420496544
49,3,True,1746420496544
50,1,True,1746420496544
51,1,True,1746420496544
52,1,True,1746420496544
53,1,True,1746420496544
54,1,False,1746420496544
54,2,False,1746420496544
54,3,True,1746420496544
55,1,True,1746420496544
56,1,False,1746420496544
56,2,True,1746420496544
57,1,False,1746420496544
57,2,True,1746420496544
58,1,True,1746420496544
59,1,True,1746420496544
60,1,True,1746420496544
61,1,True,1746420496544
62,1,True,1746420496544
63,1,True,1746420496544
64,1,True,1746420496544
65,1,False,1746420496544
65,2,True,1746420496544
66,1,True,1746420496544
67,1,False,1746420496544
67,2,True,1746420496544
68,1,True,1746420496544
69,1,True,1746420496544
70,1,True,1746420496544
71,1,False,1746420496544
71,2,True,1746420496544
72,1,False,1746420496544
72,2,False,1746420496544
72,3,True,1746420496544
73,1,True,1746420496544
74,1,True,1746420496544
75,1,True,1746420496544
76,1,True,1746420496544
77,1,True,1746420496544
78,1,True,1746420496545
79,1,False,1746420496545
79,2,False,1746420496545
79,3,True,1746420496545
80,1,True,1746420496545
81,1,False,1746420496545
81,2,True,1746420496545
82,1,True,1746420496545
83,1,True,1746420496545
84,1,True,1746420496545
85,1,True,1746420496545
86,1,True,1746420496545
87,1,True,1746420496545
88,1,True,1746420496545
89,1,False,1746420496545
89,2,True,1746420496545
90,1,True,1746420496545
91,1,False,1746420496545
91,2,True,1746420496545
92,1,True,1746420496545
93,1,True,1746420496545
94,1,True,1746420496545
95,1,False,1746420496545
95,2,True,1746420496545
96,1,False,1746420496545
96,2,True,1746420496545
97,1,False,1746420496545
97,2,True,1746420496545
98,1,True,1746420496545
99,1,False,1746420496545
99,2,True,1746420496545
